id;start_date;end_date;language
1;2019-08-22T09:55:02;2019-08-21T23:31:04;FRENCH
2;2019-08-22T12:29:24;2019-08-22T12:34:52;SPANISH
3;2019-08-22T03:40:48;2019-08-22T11:14:28;ENGLISH
4;2019-08-22T07:16:29;2019-08-22T11:24:47;FRENCH
5;2019-08-22T04:20:03;2019-08-22T04:56:58;FRENCH
6;2019-08-22T07:21:16;2019-08-21T23:39:05;SPANISH
7;2019-08-22T12:10:53;2019-08-22T17:45:26;ENGLISH
8;2019-08-22T14:27:56;2019-08-22T07:33:53;SPANISH
9;2019-08-22T00:51:35;2019-08-22T02:26:47;FRENCH
10;2019-08-22T10:01:50;2019-08-22T20:11:23;SPANISH
