id;street_address;postal_code;city;state_province
1;SCSI;Technician Architect calculate;New Nilsbury;Small Fresh Gloves
2;Buckinghamshire compress;Grocery Ball Wells;Kautzerton;GB Serbia
3;Guinea Franc fuchsia Licensed;Profound Plastic XSS;Corwintown;capacitor District
4;invoice unleash grid-enabled;groupware success program;Crawfordville;THX
5;efficient RSS Neck;Mouse fuchsia Licensed;Lake Jaceyhaven;back up Auto Loan Account
6;4th generation;Principal Savings Account online;North Bianka;Rubber Ethiopian Birr
7;Hawaii Networked;Handcrafted Rubber Gloves;New Phyllis;website Curve
8;Circles;disintermediate Walks Credit Card Account;New Maude;XSS solid state Handmade Granite Fish
9;Concrete;Planner;North Jessikaport;magenta efficient
10;Automotive approach Borders;PCI;North Rettaton;monetize Frozen
